"Term","Search","Next","Freq"
"close to the water","close to the","water",4
"closer to the weekend","closer to the","weekend",4
"clothes on their backs","clothes on their","backs",4
"clouds in the sky","clouds in the","sky",4
"cloudy patchy fog overnight","cloudy patchy fog","overnight",4
"coach steve spagnuolo said","coach steve spagnuolo","said",4
"cody many years of","cody many years","of",4
"collected over the years","collected over the","years",4
"college of urban affairs","college of urban","affairs",4
"colts owner jim irsay","colts owner jim","irsay",4
"combination of benoxacor and","combination of benoxacor","and",4
"come as no surprise","come as no","surprise",4
"come back to haunt","come back to","haunt",4
"come back to la","come back to","la",4
"come back to my","come back to","my",4
"come back with a","come back with","a",4
"come hang with us","come hang with","us",4
"come home from school","come home from","school",4
"come into contact with","come into contact","with",4
"come into their own","come into their","own",4
"come out and enjoy","come out and","enjoy",4
"come out and have","come out and","have",4
"come out and join","come out and","join",4
"come out and show","come out and","show",4
"come out of a","come out of","a",4
"come out of hiding","come out of","hiding",4
"come out of your","come out of","your",4
"come out on the","come out on","the",4
"come pick me up","come pick me","up",4
"come right out and","come right out","and",4
"come to a conclusion","come to a","conclusion",4
"come to a point","come to a","point",4
"come to find out","come to find","out",4
"come to the end","come to the","end",4
"come to the table","come to the","table",4
"come together as a","come together as","a",4
"come true if we","come true if","we",4
"come up and say","come up and","say",4
"come up with for","come up with","for",4
"come up with new","come up with","new",4
"come up with that","come up with","that",4
"come up with these","come up with","these",4
"come up with this","come up with","this",4
"come up with to","come up with","to",4
"comes from a family","comes from a","family",4
"comes in the wake","comes in the","wake",4
"comes out in a","comes out in","a",4
"comes to a boil","comes to a","boil",4
"comes with the territory","comes with the","territory",4
"comfort of your own","comfort of your","own",4
"coming back from the","coming back from","the",4
"coming in from the","coming in from","the",4
"coming off the bench","coming off the","bench",4
"coming out of a","coming out of","a",4
"coming out of his","coming out of","his",4
"coming out to our","coming out to","our",4
"coming out with a","coming out with","a",4
"coming soon stay tuned","coming soon stay","tuned",4
"coming to see me","coming to see","me",4
"coming to see us","coming to see","us",4
"coming to the stage","coming to the","stage",4
"coming your way soon","coming your way","soon",4
"comment on the incident","comment on the","incident",4
"community as a whole","community as a","whole",4
"company declined to comment","company declined to","comment",4
"company that owns the","company that owns","the",4
"compared to the same","compared to the","same",4
"compared with million or","compared with million","or",4
"competing for the same","competing for the","same",4
"compiling a list of","compiling a list","of",4
"concerned about the very","concerned about the","very",4
"condemn the world but","condemn the world","but",4
"condition of anonymity in","condition of anonymity","in",4
"condolences to his family","condolences to his","family",4
"conference call with a","conference call with","a",4
"confirmed as suicides and","confirmed as suicides","and",4
"congrats and good luck","congrats and good","luck",4
"congrats on a great","congrats on a","great",4
"congrats on winning the","congrats on winning","the",4
"congrats to our friends","congrats to our","friends",4
"congratulations to all of","congratulations to all","of",4
"congratulations to the winners","congratulations to the","winners",4
"congratulations to you and","congratulations to you","and",4
"consider one of the","consider one of","the",4
"consider the fact that","consider the fact","that",4
"considering the fact that","considering the fact","that",4
"consumer product safety commission","consumer product safety","commission",4
"content with what you","content with what","you",4
"context on the show","context on the","show",4
"continue pumping throughout the","continue pumping throughout","the",4
"continue to do what","continue to do","what",4
"continue to push for","continue to push","for",4
"continue to work for","continue to work","for",4
"continues to be the","continues to be","the",4
"contrary to popular belief","contrary to popular","belief",4
"cook stirring occasionally until","cook stirring occasionally","until",4
"cook until al dente","cook until al","dente",4
"corner of th and","corner of th","and",4
"corners of the world","corners of the","world",4
"corruption trial of former","corruption trial of","former",4
"cost attacks up to","cost attacks up","to",4
"cost duration seconds damage","cost duration seconds","damage",4
"cost million to build","cost million to","build",4
"cost more than a","cost more than","a",4
"could also be used","could also be","used",4
"could be an excellent","could be an","excellent",4
"could be argued that","could be argued","that",4
"could be as simple","could be as","simple",4
"could be described as","could be described","as",4
"could be done to","could be done","to",4
"could be forced to","could be forced","to",4
"could be further from","could be further","from",4
"could be in a","could be in","a",4
"could be part of","could be part","of",4
"could be so much","could be so","much",4
"could be the most","could be the","most",4
"could be the next","could be the","next",4
"could be used for","could be used","for",4
"could end up in","could end up","in",4
"could get use to","could get use","to",4
"could go back and","could go back","and",4
"could go back to","could go back","to",4
"could go but i","could go but","i",4
"could have a day","could have a","day",4
"could have been better","could have been","better",4
"could have been in","could have been","in",4
"could have been saved","could have been","saved",4
"could have been so","could have been","so",4
"could have made a","could have made","a",4
"could have made it","could have made","it",4
"could have made the","could have made","the",4
"could have used it","could have used","it",4
"could make it to","could make it","to",4
"could never have been","could never have","been",4
"could not afford to","could not afford","to",4
"could not be immediately","could not be","immediately",4
"could not believe what","could not believe","what",4
"could not help but","could not help","but",4
"could not wait to","could not wait","to",4
"could possibly go wrong","could possibly go","wrong",4
"could really use some","could really use","some",4
"could see all the","could see all","the",4
"could see that they","could see that","they",4
"could think of was","could think of","was",4
"could turn out to","could turn out","to",4
"could you do this","could you do","this",4
"could you tell us","could you tell","us",4
"couldnt help but feel","couldnt help but","feel",4
"couldnt help but notice","couldnt help but","notice",4
"couldnt keep up with","couldnt keep up","with",4
"couldnt make it to","couldnt make it","to",4
"couldnt stop thinking about","couldnt stop thinking","about",4
"couldnt take it anymore","couldnt take it","anymore",4
"couldnt think of anything","couldnt think of","anything",4
"council of shopping centers","council of shopping","centers",4
"counting down the hours","counting down the","hours",4
"countries around the world","countries around the","world",4
"countries in the world","countries in the","world",4
"counts and was sentenced","counts and was","sentenced",4
"counts of aggravated assault","counts of aggravated","assault",4
"counts of firstdegree murder","counts of firstdegree","murder",4
"county common pleas court","county common pleas","court",4
"county common pleas judge","county common pleas","judge",4
"county prosecutor bill mason","county prosecutor bill","mason",4
"county prosecutor bruce kaplan","county prosecutor bruce","kaplan",4
"county prosecutor john l","county prosecutor john","l",4
"county prosecutors office and","county prosecutors office","and",4
"county prosecutors office said","county prosecutors office","said",4
"county sheriffs office said","county sheriffs office","said",4
"county superior court judge","county superior court","judge",4
"couple of days but","couple of days","but",4
"couple of miles away","couple of miles","away",4
"couple of months i","couple of months","i",4
"couple of months to","couple of months","to",4
"couple of reasons first","couple of reasons","first",4
"couple of weeks of","couple of weeks","of",4
"couple of years he","couple of years","he",4
"couple of years now","couple of years","now",4
"courage to pursue them","courage to pursue","them",4
"course it was a","course it was","a",4
"course thanks for the","course thanks for","the",4
"course there is a","course there is","a",4
"court of appeals for","court of appeals","for",4
"court of criminal appeals","court of criminal","appeals",4
"cream butter and sugar","cream butter and","sugar",4
"cream cheese frosting and","cream cheese frosting","and",4
"cream of tartar and","cream of tartar","and",4
"cream of the crop","cream of the","crop",4
"create a sense of","create a sense","of",4
"creative man is motivated","creative man is","motivated",4
"credit where credit is","credit where credit","is",4
"crime scenes in mexico","crime scenes in","mexico",4
"crowd surf crowd surf","crowd surf crowd","surf",4
"cup at a time","cup at a","time",4
"cup of coffee at","cup of coffee","at",4
"cup of coffee is","cup of coffee","is",4
"cup of tea with","cup of tea","with",4
"cup of water and","cup of water","and",4
"curious to see if","curious to see","if",4
"current and former players","current and former","players",4
"current distance is miles","current distance is","miles",4
"currently working on a","currently working on","a",4
"custodybankruptcyevictionspaternity divorce child support","custodybankruptcyevictionspaternity divorce child","support",4
"cut a deal with","cut a deal","with",4
"cut into inch pieces","cut into inch","pieces",4
"cut off from the","cut off from","the",4
"cut out of the","cut out of","the",4
"cut the deficit to","cut the deficit","to",4
"cut the lead to","cut the lead","to",4
"cuts and tax increases","cuts and tax","increases",4
"cuts for the rich","cuts for the","rich",4
"cuyahoga county executive ed","cuyahoga county executive","ed",4
"cy young award winner","cy young award","winner",4
"d i cant wait","d i cant","wait",4
"damn it feels good","damn it feels","good",4
"dark of the moon","dark of the","moon",4
"day and had to","day and had","to",4
"day and the next","day and the","next",4
"day back to work","day back to","work",4
"day by day i","day by day","i",4
"day cant wait to","day cant wait","to",4
"day check out the","day check out","the",4
"day disabled list with","day disabled list","with",4
"day for the rest","day for the","rest",4
"day he had a","day he had","a",4
"day how are you","day how are","you",4
"day i dont think","day i dont","think",4
"day i feel like","day i feel","like",4
"day i guess i","day i guess","i",4
"day i hope you","day i hope","you",4
"day i think it","day i think","it",4
"day in a row","day in a","row",4
"day in day out","day in day","out",4
"day is a new","day is a","new",4
"day its going to","day its going","to",4
"day may not be","day may not","be",4
"day most of the","day most of","the",4
"day of all please","day of all","please",4
"day of all thats","day of all","thats",4
"day of the nd","day of the","nd",4
"day one of my","day one of","my",4
"day or two to","day or two","to",4
"day started with a","day started with","a",4
"day time to get","day time to","get",4
"day to day and","day to day","and",4
"day to day living","day to day","living",4
"day to get the","day to get","the",4
"day to make sure","day to make","sure",4
"day to the next","day to the","next",4
"dayif you follow me","dayif you follow","me",4
"days a week for","days a week","for",4
"days a week in","days a week","in",4
"days ago it was","days ago it","was",4
"days before he was","days before he","was",4
"days i have been","days i have","been",4
"days later he was","days later he","was",4
"days like today i","days like today","i",4
"days like today make","days like today","make",4
"days of my life","days of my","life",4
"days where you just","days where you","just",4
"dc dc in next","dc dc in","next",4
"dead or alive and","dead or alive","and",4
"deal of respect for","deal of respect","for",4
"deal with a lot","deal with a","lot",4
"deal with all the","deal with all","the",4
"dear friend of mine","dear friend of","mine",4
"dear to my heart","dear to my","heart",4
"death cab for cutie","death cab for","cutie",4
"death do us part","death do us","part",4
"death of one of","death of one","of",4
"death penalty if convicted","death penalty if","convicted",4
"debt ceiling showdown august","debt ceiling showdown","august",4
"decide i want to","decide i want","to",4
"decided not to do","decided not to","do",4
"decided that he would","decided that he","would",4
"decided that i am","decided that i","am",4
"decided that it was","decided that it","was",4
"decided to add some","decided to add","some",4
"decided to check it","decided to check","it",4
"decided to create a","decided to create","a",4
"decided to do some","decided to do","some",4
"decided to get the","decided to get","the",4
"decided to give up","decided to give","up",4
"decided to go back","decided to go","back",4
"decided to have a","decided to have","a",4
"decided to make my","decided to make","my",4
"decided to make the","decided to make","the",4
"decided to put it","decided to put","it",4
"decided to see if","decided to see","if",4
"decided to take my","decided to take","my",4
"decided to try to","decided to try","to",4
"decision to close the","decision to close","the",4
"declined to comment saying","declined to comment","saying",4
"declined to identify the","declined to identify","the",4
"deeper and deeper into","deeper and deeper","into",4
"deeply gives you courage","deeply gives you","courage",4
"defensive coordinator gregg williams","defensive coordinator gregg","williams",4
"defensive end justin tuck","defensive end justin","tuck",4
"definitely looking forward to","definitely looking forward","to",4
"degree in political science","degree in political","science",4
"degree one count of","degree one count","of",4
"degrees for minutes or","degrees for minutes","or",4
"degrees with a chance","degrees with a","chance",4
"demand too much from","demand too much","from",4
"democratic party chairman chris","democratic party chairman","chris",4
"department of law enforcement","department of law","enforcement",4
"depending on how long","depending on how","long",4
"depending on the time","depending on the","time",4
"describe it as a","describe it as","a",4
"describes as one of","describes as one","of",4
"deserve to be in","deserve to be","in",4
"designed to be a","designed to be","a",4
"designed to look like","designed to look","like",4
"desire to achieve not","desire to achieve","not",4
"desire to beat others","desire to beat","others",4
"desperate need of a","desperate need of","a",4
"destination it is a","destination it is","a",4
"dicuss the future of","dicuss the future","of",4
"did a couple of","did a couple","of",4
"did a google search","did a google","search",4
"did a nice job","did a nice","job",4
"did all of the","did all of","the",4
"did any of the","did any of","the",4
"did get to see","did get to","see",4
"did hahah love you","did hahah love","you",4
"did he have to","did he have","to",4
"did he tell you","did he tell","you",4
"did i do i","did i do","i",4
"did i do to","did i do","to",4
"did i miss it","did i miss","it",4
"did i wake up","did i wake","up",4
"did it hurt when","did it hurt","when",4
"did it take you","did it take","you",4
"did my best to","did my best","to",4
"did not belong to","did not belong","to",4
"did not find any","did not find","any",4
"did not get a","did not get","a",4
"did not go to","did not go","to",4
"did not identify the","did not identify","the",4
"did not include a","did not include","a",4
"did not intend to","did not intend","to",4
"did not know about","did not know","about",4
"did not know it","did not know","it",4
"did not meet the","did not meet","the",4
"did not offer any","did not offer","any",4
"did not participate in","did not participate","in",4
"did not return phone","did not return","phone",4
"did not reveal the","did not reveal","the",4
"did not say if","did not say","if",4
"did not see the","did not see","the",4
"did not sit well","did not sit","well",4
"did not work for","did not work","for",4
"did or did not","did or did","not",4
"did so much for","did so much","for",4
"did some of the","did some of","the",4
"did some research and","did some research","and",4
"did the time go","did the time","go",4
"did they have to","did they have","to",4
"did u see the","did u see","the",4
"did u think of","did u think","of",4
"did u watch the","did u watch","the",4
"did when i was","did when i","was",4
"did you become a","did you become","a",4
"did you do to","did you do","to",4
"did you find me","did you find","me",4
"did you get any","did you get","any",4
"did you happen to","did you happen","to",4
"did you have in","did you have","in",4
"did you hear the","did you hear","the",4
"did you know what","did you know","what",4
"did you see my","did you see","my",4
"did you talk to","did you talk","to",4
"did you want to","did you want","to",4
"didnt ask for this","didnt ask for","this",4
"didnt do anything for","didnt do anything","for",4
"didnt even know about","didnt even know","about",4
"didnt even know i","didnt even know","i",4
"didnt even know it","didnt even know","it",4
"didnt even know you","didnt even know","you",4
"didnt even think about","didnt even think","about",4
"didnt get around to","didnt get around","to",4
"didnt get to go","didnt get to","go",4
"didnt get to meet","didnt get to","meet",4
"didnt go far enough","didnt go far","enough",4
"didnt have the money","didnt have the","money",4
"didnt have to cut","didnt have to","cut",4
"didnt have to go","didnt have to","go",4
"didnt have to work","didnt have to","work",4
"didnt immediately respond to","didnt immediately respond","to",4
"didnt know anything about","didnt know anything","about",4
"didnt know what a","didnt know what","a",4
"didnt know what it","didnt know what","it",4
"didnt realize there was","didnt realize there","was",4
"didnt say a word","didnt say a","word",4
"didnt say how much","didnt say how","much",4
"didnt see that coming","didnt see that","coming",4
"didnt seem to mind","didnt seem to","mind",4
"didnt show up to","didnt show up","to",4
"didnt take me long","didnt take me","long",4
"didnt think he was","didnt think he","was",4
"didnt think he would","didnt think he","would",4
"didnt think i could","didnt think i","could",4
"didnt think id ever","didnt think id","ever",4
"didnt think we had","didnt think we","had",4
"didnt want her to","didnt want her","to",4
"didnt want to know","didnt want to","know",4
"didnt want to lose","didnt want to","lose",4
"didnt want to write","didnt want to","write",4
"didnt work out as","didnt work out","as",4
"die i want to","die i want","to",4
"died at the age","died at the","age",4
"died at the hands","died at the","hands",4
"died in at the","died in at","the",4
"died of natural causes","died of natural","causes",4
"died on the cross","died on the","cross",4
"difference does it make","difference does it","make",4
"different from each other","different from each","other",4
"different than what i","different than what","i",4
"different version of the","different version of","the",4
"difficult if not impossible","difficult if not","impossible",4
"difficult it is to","difficult it is","to",4
"dig a little deeper","dig a little","deeper",4
"dimensions oliver wendell holmes","dimensions oliver wendell","holmes",4
"dimora and codefendant michael","dimora and codefendant","michael",4
"dinner and a movie","dinner and a","movie",4
"direction i want to","direction i want","to",4
"direction of your dreams","direction of your","dreams",4
"director for the national","director for the","national",4
"director of the arizona","director of the","arizona",4
"director of the county","director of the","county",4
"director of the governors","director of the","governors",4
"director of the san","director of the","san",4
"discuss ideas average minds","discuss ideas average","minds",4
"distance is miles current","distance is miles","current",4
"distinction of being the","distinction of being","the",4
"dm acct or phonezip","dm acct or","phonezip",4
"dm me your number","dm me your","number",4
"dm us for more","dm us for","more",4
"do a story on","do a story","on",4
"do a tinychat with","do a tinychat","with",4
"do a wonderful job","do a wonderful","job",4
"do all sorts of","do all sorts","of",4
"do all the work","do all the","work",4
"do an excellent job","do an excellent","job",4
"do and i have","do and i","have",4
"do any kind of","do any kind","of",4
"do anything for me","do anything for","me",4
"do anything to get","do anything to","get",4
"do anything with it","do anything with","it",4
"do as i say","do as i","say",4
"do as part of","do as part","of",4
"do at this point","do at this","point",4
"do believe it is","do believe it","is",4
"do better in the","do better in","the",4
"do everything in my","do everything in","my",4
"do everything possible to","do everything possible","to",4
"do everything you can","do everything you","can",4
"do excellence then is","do excellence then","is",4
"do how do you","do how do","you",4
"do i and i","do i and","i",4
"do i even bother","do i even","bother",4
"do i even have","do i even","have",4
"do i get in","do i get","in",4
"do i get your","do i get","your",4
"do i have any","do i have","any",4
"do i have the","do i have","the",4
"do i like this","do i like","this",4
"do i need a","do i need","a",4
"do i really need","do i really","need",4
"do in the future","do in the","future",4
"do is be entertaining","do is be","entertaining",4
"do it again but","do it again","but",4
"do it again he","do it again","he",4
"do it all again","do it all","again",4
"do it and i","do it and","i",4
"do it and the","do it and","the",4
"do it at the","do it at","the",4
"do it because i","do it because","i",4
"do it but i","do it but","i",4
"do it he said","do it he","said",4
"do it i am","do it i","am",4
"do it i cant","do it i","cant",4
"do it if you","do it if","you",4
"do it would be","do it would","be",4
"do know how to","do know how","to",4
"do know is that","do know is","that",4
"do much more than","do much more","than",4
"do not care about","do not care","about",4
"do not have an","do not have","an",4
"do not know if","do not know","if",4
"do not like it","do not like","it",4
"do not like this","do not like","this",4
"do not qualify for","do not qualify","for",4
"do not realize how","do not realize","how",4
"do not talk about","do not talk","about",4
"do not think it","do not think","it",4
"do one of those","do one of","those",4
"do our best to","do our best","to",4
"do so in a","do so in","a",4
"do so in the","do so in","the",4
"do so it is","do so it","is",4
"do some research and","do some research","and",4
"do something other than","do something other","than",4
"do thank you for","do thank you","for",4
"do that for me","do that for","me",4
"do that for you","do that for","you",4
"do that he said","do that he","said",4
"do that i just","do that i","just",4
"do that this is","do that this","is",4
"do that to the","do that to","the",4
"do the best i","do the best","i",4
"do the best we","do the best","we",4
"do the right things","do the right","things",4
"do the same shit","do the same","shit",4
"do the things we","do the things","we",4
"do they do that","do they do","that",4
"do things in the","do things in","the",4
"do things that are","do things that","are",4
"do think that the","do think that","the",4
"do this for me","do this for","me",4
"do this is my","do this is","my",4
"do to help the","do to help","the",4
"do to make it","do to make","it",4
"do to others what","do to others","what",4
"do we do it","do we do","it",4
"do we have any","do we have","any",4
"do we have the","do we have","the",4
"do we need a","do we need","a",4
"do what he does","do what he","does",4
"do what i gotta","do what i","gotta",4
"do what i have","do what i","have",4
"do what i love","do what i","love",4
"do what they do","do what they","do",4
"do what we do","do what we","do",4
"do what works for","do what works","for",4
"do whatever i want","do whatever i","want",4
"do whatever they want","do whatever they","want",4
"do whatever you want","do whatever you","want",4
"do with it i","do with it","i",4
"do with it it","do with it","it",4
"do with the other","do with the","other",4
"do would be to","do would be","to",4
"do you call it","do you call","it",4
"do you deal with","do you deal","with",4
"do you do this","do you do","this",4
"do you even know","do you even","know",4
"do you ever feel","do you ever","feel",4
"do you find most","do you find","most",4
"do you get the","do you get","the",4
"do you get when","do you get","when",4
"do you go about","do you go","about",4
"do you guys like","do you guys","like",4
"do you happen to","do you happen","to",4
"do you have anything","do you have","anything",4
"do you have planned","do you have","planned",4
"do you have so","do you have","so",4
"do you know i","do you know","i",4
"do you love it","do you love","it",4
"do you love me","do you love","me",4
"do you mean by","do you mean","by",4
"do you mean i","do you mean","i",4
"do you plan to","do you plan","to",4
"do you play at","do you play","at",4
"do you really need","do you really","need",4
"do you see any","do you see","any",4
"do you see him","do you see","him",4
"do you think hes","do you think","hes",4
"do you think my","do you think","my",4
"do you think youll","do you think","youll",4
"do you use the","do you use","the",4
"do you work with","do you work","with",4
"do your best to","do your best","to",4
"does anyone have an","does anyone have","an",4
"does anyone have the","does anyone have","the",4
"does anyone know if","does anyone know","if",4
"does anyone know what","does anyone know","what",4
"does anyone know where","does anyone know","where",4
"does everyone think of","does everyone think","of",4
"does he have to","does he have","to",4
"does it make sense","does it make","sense",4
"does not know what","does not know","what",4
"does not make a","does not make","a",4
"does not mean i","does not mean","i",4
"does not mean the","does not mean","the",4
"does not necessarily mean","does not necessarily","mean",4
"does not sound like","does not sound","like",4
"does not work for","does not work","for",4
"does one get a","does one get","a",4
"does that make sense","does that make","sense",4
"does that mean im","does that mean","im",4
"does that mean we","does that mean","we",4
"doesnt appear to be","doesnt appear to","be",4
"doesnt do it for","doesnt do it","for",4
"doesnt even begin to","doesnt even begin","to",4
"doesnt have enough money","doesnt have enough","money",4
"doesnt have to do","doesnt have to","do",4
"doesnt make any sense","doesnt make any","sense",4
"doesnt make you a","doesnt make you","a",4
"doesnt matter if it","doesnt matter if","it",4
"doesnt mean i have","doesnt mean i","have",4
"doesnt mean u have","doesnt mean u","have",4
"doesnt mean you know","doesnt mean you","know",4
"doesnt really matter what","doesnt really matter","what",4
"doesnt revolve around you","doesnt revolve around","you",4
"doesnt seem like a","doesnt seem like","a",4
"doesnt seem right to","doesnt seem right","to",4
"doesnt seem to bother","doesnt seem to","bother",4
"doesnt seem to work","doesnt seem to","work",4
"doesnt sound like a","doesnt sound like","a",4
"doesnt want to play","doesnt want to","play",4
"doesnt want to see","doesnt want to","see",4
"doesnt want to talk","doesnt want to","talk",4
"doesnt work for me","doesnt work for","me",4
"doing a bit of","doing a bit","of",4
"doing an interview with","doing an interview","with",4
"doing his best to","doing his best","to",4
"doing something about it","doing something about","it",4
"doing something i love","doing something i","love",4
"doing the best i","doing the best","i",4
"doing the right things","doing the right","things",4
"doing this for the","doing this for","the",4
"doing what is right","doing what is","right",4
"doing what we do","doing what we","do",4
"doing what you do","doing what you","do",4
"dollars casting code a","dollars casting code","a",4
"done a better job","done a better","job",4
"done a nice job","done a nice","job",4
"done a pretty good","done a pretty","good",4
"done around the house","done around the","house",4
"done for the year","done for the","year",4
"done in the last","done in the","last",4
"done it before and","done it before","and",4
"done so much for","done so much","for",4
"done with all this","done with all","this",4
"dont be such a","dont be such","a",4
"dont be tardy for","dont be tardy","for",4
"dont believe that i","dont believe that","i",4
"dont care about how","dont care about","how",4
"dont care what i","dont care what","i",4
"dont care what they","dont care what","they",4
"dont do that i","dont do that","i",4
"dont do that in","dont do that","in",4
"dont end up with","dont end up","with",4
"dont even know it","dont even know","it",4
"dont even know you","dont even know","you",4
"dont feel like being","dont feel like","being",4
"dont feel that i","dont feel that","i",4
"dont feel the need","dont feel the","need",4
"dont forget that we","dont forget that","we",4
"dont forget to pick","dont forget to","pick",4
"dont forget to set","dont forget to","set",4
"dont get back to","dont get back","to",4
"dont get it but","dont get it","but",4
"dont have a big","dont have a","big",4
"dont have a blog","dont have a","blog",4
"dont have a choice","dont have a","choice",4
"dont have a good","dont have a","good",4
"dont have a job","dont have a","job",4
"dont have a place","dont have a","place",4
"dont have a whole","dont have a","whole",4
"dont have an attitude","dont have an","attitude",4
"dont have it and","dont have it","and",4
"dont have money to","dont have money","to",4
"dont have that much","dont have that","much",4
"dont have the right","dont have the","right",4
"dont have to come","dont have to","come",4
"dont have to drive","dont have to","drive",4
"dont have to get","dont have to","get",4
"dont have to play","dont have to","play",4
"dont have to think","dont have to","think",4
"dont have to work","dont have to","work",4
"dont know exactly what","dont know exactly","what",4
"dont know for sure","dont know for","sure",4
"dont know how but","dont know how","but",4
"dont know how we","dont know how","we",4
"dont know i exist","dont know i","exist",4
"dont know i guess","dont know i","guess",4
"dont know the key","dont know the","key",4
"dont know what he","dont know what","he",4
"dont know what ill","dont know what","ill",4
"dont know what she","dont know what","she",4
"dont know what we","dont know what","we",4
"dont know whats up","dont know whats","up",4
"dont know where you","dont know where","you",4
"dont know who i","dont know who","i",4
"dont know who the","dont know who","the",4
"dont know why it","dont know why","it",4
"dont know why this","dont know why","this",4
"dont let it be","dont let it","be",4
"dont like when i","dont like when","i",4
"dont listen to them","dont listen to","them",4
"dont make it to","dont make it","to",4
"dont mean that as","dont mean that","as",4
"dont need a man","dont need a","man",4
"dont need to go","dont need to","go",4
"dont need to say","dont need to","say",4
"dont say anything at","dont say anything","at",4
"dont see that as","dont see that","as",4
"dont see that often","dont see that","often",4
"dont seem to mind","dont seem to","mind",4
"dont shy away from","dont shy away","from",4
"dont talk about it","dont talk about","it",4
"dont talk like that","dont talk like","that",4
"dont think he can","dont think he","can",4
"dont think he would","dont think he","would",4
"dont think ill have","dont think ill","have",4
"dont think im gonna","dont think im","gonna",4
"dont think it would","dont think it","would",4
"dont think so but","dont think so","but",4
"dont think that i","dont think that","i",4
"dont think thats a","dont think thats","a",4
"dont think there will","dont think there","will",4
"dont think they are","dont think they","are",4
"dont think they can","dont think they","can",4
"dont wait for the","dont wait for","the",4
"dont wanna hear it","dont wanna hear","it",4
"dont wanna talk to","dont wanna talk","to",4
"dont want him to","dont want him","to",4
"dont want that to","dont want that","to",4
"dont want to ask","dont want to","ask",4
"dont want to end","dont want to","end",4
"dont want to feel","dont want to","feel",4
"dont want to forget","dont want to","forget",4
"dont want to keep","dont want to","keep",4
"dont want to mess","dont want to","mess",4
"dont want to waste","dont want to","waste",4
"dont waste my time","dont waste my","time",4
"dont worry if you","dont worry if","you",4
"dont you hate when","dont you hate","when",4
"dont you just hate","dont you just","hate",4
"double the size of","double the size","of",4
"doubt that it will","doubt that it","will",4
"down a little bit","down a little","bit",4
"down and have a","down and have","a",4
"down and it was","down and it","was",4
"down as much as","down as much","as",4
"down as one of","down as one","of",4
"down at the table","down at the","table",4
"down by the river","down by the","river",4
"down for the night","down for the","night",4
"down from percent in","down from percent","in",4
"down if you dont","down if you","dont",4
"down in front of","down in front","of",4
"down in the parking","down in the","parking",4
"down on one knee","down on one","knee",4
"down thanks for the","down thanks for","the",4
"down the court and","down the court","and",4
"down the days to","down the days","to",4
"down the middle and","down the middle","and",4
"down the rabbit hole","down the rabbit","hole",4
"down the road he","down the road","he",4
"down the street i","down the street","i",4
"down the street in","down the street","in",4
"down to a few","down to a","few",4
"down to earth and","down to earth","and",4
"down to it i","down to it","i",4
"down to the beach","down to the","beach",4
"draws to a close","draws to a","close",4
"dream come true the","dream come true","the",4
"dream of home ownership","dream of home","ownership",4
"dream please it is","dream please it","is",4
"dreamed he dreamed i","dreamed he dreamed","i",4
"dreams are made of","dreams are made","of",4
"dreams come true and","dreams come true","and",4
"dreams for the future","dreams for the","future",4
"dressed in overalls and","dressed in overalls","and",4
"driving to the airport","driving to the","airport",4
"drizzle of olive oil","drizzle of olive","oil",4
"drop in the ocean","drop in the","ocean",4
"drop out of the","drop out of","the",4
"drove in two runs","drove in two","runs",4
"drug possession police arrested","drug possession police","arrested",4
"dry ingredients in a","dry ingredients in","a",4
"due back in court","due back in","court",4
"during a search of","during a search","of",4
"during a visit to","during a visit","to",4
"during happy hour and","during happy hour","and",4
"during his first two","during his first","two",4
"during his time with","during his time","with",4
"during his year career","during his year","career",4
"during that time the","during that time","the",4
"during the financial crisis","during the financial","crisis",4
"during the first three","during the first","three",4
"during the holiday season","during the holiday","season",4
"during the last few","during the last","few",4
"during the next two","during the next","two",4
"during the past decade","during the past","decade",4
"during the past three","during the past","three",4
"during the past two","during the past","two",4
"during the past week","during the past","week",4
"during the revolutionary war","during the revolutionary","war",4
"during the second world","during the second","world",4
"during the summer of","during the summer","of",4
"during the th century","during the th","century",4
"during the third quarter","during the third","quarter",4
"during the week and","during the week","and",4
"each day of the","each day of","the",4
"each of his first","each of his","first",4
"each of the next","each of the","next",4
"each of them is","each of them","is",4
"each of us in","each of us","in",4
"each other for a","each other for","a",4
"each other this is","each other this","is",4
"each year and the","each year and","the",4
"earlier this month at","earlier this month","at",4
"earlier this month for","earlier this month","for",4
"earlier this month to","earlier this month","to",4
"earlier this week i","earlier this week","i",4
"earlier this year a","earlier this year","a",4
"early in the day","early in the","day",4
"early in the film","early in the","film",4
"early in the process","early in the","process",4
"early morning hours of","early morning hours","of",4
"early this morning in","early this morning","in",4
"early version of the","early version of","the",4
"earn a spot in","earn a spot","in",4
"earned a law degree","earned a law","degree",4
"easier for people to","easier for people","to",4
"easier it is to","easier it is","to",4
"easier to use and","easier to use","and",4
"easier to work with","easier to work","with",4
"east troy wisconsin incorporated","east troy wisconsin","incorporated",4
"easy to do and","easy to do","and",4
"easy to make the","easy to make","the",4
"easy to see how","easy to see","how",4
"eat drink and be","eat drink and","be",4
"eclips machine and albums","eclips machine and","albums",4
"economic cooperation and development","economic cooperation and","development",4
"economists surveyed by bloomberg","economists surveyed by","bloomberg",4
"education secretary arne duncan","education secretary arne","duncan",4
"education will make you","education will make","you",4
"effort to try to","effort to try","to",4
"elected president of the","elected president of","the",4
